datum,oib,primatelj,mjesto,iznos,valuta,opis,pozivNaBroj,iban,sifraPK,nazivPK,tipOsobe,isplateUuid,brojUgovora,konto_sifra,konto_naziv,konto_iznos
2021-07-13 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,ef246f5e-610e-4c69-b132-6301e196a84a,,4123,Licence,15180.17
2021-07-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,eede3423-97b1-4649-9566-543ec351fe06,,4123,Licence,15180.17
2021-07-12 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,792d3200-3c90-4b66-af95-808e75daccce,,4123,Licence,15180.17
2021-06-28 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,66.36,EUR,,HR99,,,,P,2a6dba5d-2502-4e84-aa78-7e28bffcebdc,,3213,Stručno usavršavanje zaposlenika,66.36
2021-05-20 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,b00d38f2-a1ed-4206-8e1a-a3cb54776a7d,,4123,Licence,15180.17
2021-05-20 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,14e71195-4f53-4daf-a66d-0dcd55135e64,,4123,Licence,15180.17
2021-04-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,37edf6f1-7a6b-4460-86b8-d506a0ee3b8b,,4123,Licence,15180.17
2021-04-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,6619.55,EUR,,HR99,,,,P,17fe86eb-3dad-4c38-a73a-8c6cdc62c438,,3238,Računalne usluge,6619.55
2021-04-01 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,b35579df-5b36-4dad-b56a-0bf604a6ff88,,4123,Licence,15180.17
2021-01-08 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,1529.42,EUR,,HR99,,,,P,09d0c965-91f8-4f75-83cb-918e035de7d3,,3231,"Usluge telefona, pošte i prijevoza",1529.42
2021-01-08 00:00:00.0,14506572540,LIBUSOFT CICOM D.O.O.,Zagreb-Novi Zagreb,15180.17,EUR,,HR99,,,,P,c16198c5-ee90-4910-95e0-ae6182bac5be,,3238,Računalne usluge,15180.17
